name,url,section,sub-section,quick-nav,featured
About Home,/about/index.html,about,,,
Welcome,/about/welcome.html,about,Welcome,,
Recognizing our Faculty ,/recognitions/,about,Welcome,,
Contact/Directions,/about/directions.html,about,,,
Overnight Parking,/about/overnightparking.html,about,,,
Departments,/about/departments.html,about,,,
People,/about/directory.html,about,People,,
Directory ,/about/directory.html,about,People,,
Faculty Librarians ,/about/librarians.html,about,People,,
Policies,/about/policies.html,about,Policies,,
Circulation,/about/policies.html#circulation,about,Policies,,
Fines ,/about/policies.html#fines,about,Policies,,
Cell Phone ,/about/policies.html#cellphone,about,Policies,,
Food and Drink ,/about/policies.html#foodanddrink,about,Policies,,
Reserve ,/about/policies.html#reserve,about,Policies,,
Group Study Rooms,/about/policies.html#groupstudyrooms,about,Policies,,
Lockers and Carrels,/about/policies.html#lockerscarrels,about,Policies,,
Scanning Requests,/about/policies.html#scanning,about,Policies,,
Collection Management,/about/policies.html#collmanage,about,Policies,,
Reports and Statistics,/about/statistics.html,about,,,
Subject Liaisons,/about/liaisons.html,about,,,
Strategic Plan,/about/stratplan.html,about,,,
Floor Maps,maps.html,about,,,
Giving,/giving/,about,,,
Hours,hours.html,about,,,
Articles,/find/articles.html,find,,,
Books & eBooks,/find/books.html,find,books,,
Ebook Guide,https://libguides.uidaho.edu/ebooks,find,books,,
Library of Congress Call Numbers,/find/lc.html,find,books,,
DVDs,/find/dvds.html,find,,,
Encyclopedias,/find/encyclopedias.html,find,,,
Geospatial Resources,/find/geospatial/,,,
Gov. Documents,/find/govdocs/,find,gov docs,,
Search Information,/find/govdocs/search.html,find,gov docs,,
Circulation Policies,/find/govdocs/circulation.html,find,gov docs,,
Journals,/find/journals.html,find,,,
Maps,/find/maps/,find,maps,,
Print Maps,/find/maps/paper.html,find,maps,,
Digital Maps,/find/maps/digital.html,find,maps,,
Newspapers,/find/newspapers.html,find,newspapers,,
Microfilm List,/find/microfilm.html,find,newspapers,,
Local Newspapers,/find/localnewspapers.html,find,newspapers,,
Argonaut Index,/find/argonaut.html,find,newspapers,,
Research Guides,http://libguides.uidaho.edu/index.php?,find,,,
Theses & Dissertations,/find/etds.html,find,,,
