objectid,image_thumb,fellowship,award-amount,full-name,firstname,lastname,status,department,year,project,site,description,project_image,professional,oedcourse,oeddiscipline,oedcollege,students_impacted,students_savings,years-active,oedimpacttags,estimated-cost-savings-over-time
sowards_1,https://cdil.lib.uidaho.edu//objects/sowards.jpg,CDIL Digital Scholarship Fellowship,$0,Adam Sowards,Adam,Sowards,Faculty,History,2017,Idaho Wilderness and Democracy: Experiments in Visualizing Citizen Testimony,https://cdil.lib.uidaho.edu/wilderness-hearings/,Visualizing and analyzing citizen testimony via textual analysis of hearings documents from the Wilderness Act and the Roadless Area Review and Evaluation.,https://cdil.lib.uidaho.edu/objects/small/wildhearings_sm.jpg,https://adamsowards.net/,,,,,,,,
turpin_2,https://cdil.lib.uidaho.edu//objects/turpin.jpg,CDIL Faculty Development Fellowship,"$1,500",Zachary Turpin,Zachary,Turpin,Faculty,English,2017,Initial development for Lost Lit Lab,,,,https://verso.uidaho.edu/esploro/profile/zachary_turpin,,,,,,,,
fox-amato,https://cdil.lib.uidaho.edu//objects/fox-amato.jpg,CDIL Faculty Development Fellowship,"$1,500",Matthew Fox-Amato,Matthew,Fox-Amato,Faculty,History,2017,Palouse Digital Scholarship Symposium,https://github.com/PalouseDH/symposium/blob/master/2018/README.md,In past years CDIL has co-hosted a week-long Palouse Digital Scholarship Symposium with Washington State University's Center for Digital Scholarship and Curation (CDSC). This program is currently on hiatus.,https://cdil.lib.uidaho.edu/objects/small/palousedh_sm.jpg,https://verso.uidaho.edu/esploro/profile/matthew_foxamato/overview,,,,,,,,
levan,https://cdil.lib.uidaho.edu//objects/levan.jpg,CDIL Faculty Development Fellowship,"$1,500",Kristine Levan,Kristine,Levan,Faculty,"Culture, Society and Justice",2017,Palouse Digital Scholarship Symposium,https://github.com/PalouseDH/symposium/blob/master/2018/README.md,In past years CDIL has co-hosted a week-long Palouse Digital Scholarship Symposium with Washington State University's Center for Digital Scholarship and Curation (CDSC). This program is currently on hiatus.,https://cdil.lib.uidaho.edu/objects/small/palousedh_sm.jpg,https://verso.uidaho.edu/esploro/profile/kristine_levan,,,,,,,,
oglesby,https://cdil.lib.uidaho.edu//objects/oglesby_new.jpg,CDIL Graduate Fellowship,"$3,200",Corey Oglesby,Corey,Oglesby,Graduate,English,2017,CTRL+Shift,https://ctrl-shift.org/,Data-driven exploration of oral history interviews with 11 prominent contemporary American poets,https://cdil.lib.uidaho.edu/objects/small/ctrl_sm.jpg,https://coreyoglesby.com/,,,,,,,,
westerfield,https://cdil.lib.uidaho.edu//objects/westerfield.png,CDIL Graduate Fellowship,"$3,200",Lauren Westerfield,Lauren,Westerfield,Graduate,English,2017,CTRL+Shift,https://ctrl-shift.org/,Data-driven exploration of oral history interviews with 11 prominent contemporary American poets,https://cdil.lib.uidaho.edu/objects/small/ctrl_sm.jpg,https://www.laurenwesterfield.com/,,,,,,,,
butterfield_1,https://www.uidaho.edu/-/media/UIdaho-Responsive/Images/class/departments/lhsom/faculty-and-staff/sean-butterfield.jpg?h=1200&la=en&w=1200&hash=3013E1345994695826C27E49D38350386708A8BE,ThinkOpen Fellowship,"$1,200",Sean Butterfield,Sean,Butterfield,Faculty,Lionel Hampton School of Music,2017,MUSC 241/242 Theory of Music III,,"Create on original, interactive, digital textbook to teach students music theory.",,https://verso.uidaho.edu/esploro/profile/sean_butterfield,MUSC 241/242 Theory of Music III,Music,"Letters, Arts and Social Sciences",24,"$7,440.00",3,,"$16,314.44"
pula,https://www.uidaho.edu/-/media/UIdaho-Responsive/Images/class/departments/psych-comm/faculty-and-staff/kacy-pula.jpg?h=796&la=en&w=796&hash=AE720C9F0832FDE33A49F4809542D0B657C62118,ThinkOpen Fellowship,"$1,200",Kacy Pula,Kacy,Pula,Faculty,Psychology & Communication,2017,PSYC 101 Introduction to Psychology,,Adapting an open stax textbook to PSYC 101.,,https://verso.uidaho.edu/esploro/profile/kacy_pula,PSYC 101 Introduction to Psychology,Psychology,"Letters, Arts and Social Sciences",137,"$7,124.00",3,,"$15,621.51"
spence,https://www.uidaho.edu/-/media/UIdaho-Responsive/Images/coe/FacultyandStaff/CIFaculty/SpenceIngrid1200x1200.jpg?h=660&la=en&w=660&hash=ACE4D51DACE217C46DC80AF9E0EA8F1869D8C9ED,ThinkOpen Fellowship,"$1,200",Ingrid Spence,Ingrid,Spence,Faculty,Education,2017,EDCI 201 Contexts of Education,,Utilized open resources and course resereves to create a zero cost syllabus.,,,EDCI 201 Contexts of Education,Curriculum and Instruction,"Education, Health and Human Sciences",128,"$12,800.00",3,,"$28,067.85"
terrio,,ThinkOpen Fellowship,"$1,200",Judith Terrio,Judith,Terrio,Faculty,Mathematics,2017,MATH 123 Mathematics Applied to the Modern World,,Adapting an open textbook for MATH 123.,,,MATH 123 Mathematics Applied to the Modern World,Mathematics,Science,136,"$17,680.00",3,,"$38,768.72"
