name,year,type,image,profile-link,course,discipline,college,students-impacted,money-saved,impact-tags,topic,oercommonslink
Bert Baumgaertner,2021,Faculty,baumgaertner.jpg,http://vivo.nkn.uidaho.edu/individual/pid990218,PHIL 312: Intro to Decision Theory,Politics and Philosophy,"Letters, Arts and Social Sciences",30,"$3,000",,Writing a complete open text on Decision Theory.,
Helen Brown,2021,Faculty,brown.jpg,http://vivo.nkn.uidaho.edu/individual/pid50172,MVSC 486 and MVSC 586- Healthy Active Lifestyles Assessment and Program Planning,Movement Sciences,"Education, Health and Human Sciences",20,,,Creating an interactive workbook to support student progress over the semester.,
Janine Darragh,2021,Faculty,darragh.jpg,http://vivo.nkn.uidaho.edu/individual/pid50353,"OER for outreach, service, and research in conjunction with English teachers from crisis contexts around the world.",Curriculum and Instruction,"Education, Health and Human Sciences",100,,,Create fresh OER entries on OERCommons to transition content from a locked in app to a more accessible format.,
Lauren McCleary,2021,Faculty,mccleary.jpg,http://vivo.nkn.uidaho.edu/individual/n186661,ART 100: Introduction to Art,Art,Art and Architecture,200,"$15,000",Idaho GEM,Creating a zero cost syllabus for a high-enrollment Introduction to Art Course - Art 101.,
Matthew (Matt) Grindal,2021,Faculty,grindal.jpg,http://vivo.nkn.uidaho.edu/individual/n59319,CRIM 101: Introduction to Criminology and CRIM 420: Substance Use and Society,Sociology and Anthropology,"Letters, Arts and Social Sciences",65,"$7,670",,Develop course readers that support these two courses utilizing existing open texts.,
Russell (Russ) Meeuf,2021,Faculty,meeuf.jpg,http://vivo.nkn.uidaho.edu/individual/n860211,"FTV 100, Film History & Aesthetics",Journalism and Mass Media,"Letters, Arts and Social Sciences",80,"$8,000",,Building a zero cost or very low cost film studies course that still utilizes contemporary and exciting titles for students.,
Helen Brown,2020,Faculty,brown.jpg,http://vivo.nkn.uidaho.edu/individual/pid50172,MVSC 486/586- Healthy Active Lifestyles Assessment and Intervention,Movement Sciences,"Education, Health and Human Sciences",35,,,Dr. Brown will create an open source workbook to support students in developing their skills to develop and implement public health promotion projects.,
Janine Darragh,2020,Faculty,darragh.jpg,http://vivo.nkn.uidaho.edu/individual/pid50353,EDCI 448/548: Introduction to ENL in the K-12 Schools,Curriculum and Instruction,"Education, Health and Human Sciences",60,,,Dr. Darragh will create an open syllabus that transitions EDCI 448/548 from a traditional text to a no-cost syllabus using open materials and course reserves resources.,
Leontina Hormel,2020,Faculty,hormel.jpg,http://vivo.nkn.uidaho.edu/individual/pid990251,"WGSS 201: Introduction to Women's, Gender and Sexuality Studies","Women's, Gender and Sexuality Studies","Letters, Arts and Social Sciences",40,,,"Dr. Hormel will adapt an open textbook for WGSS 201, Intro to Women's, Gender and Sexuality Studies and will create an accompanying open syllabus.",
Sarah Bush,2020,Faculty,bush.jpg,http://vivo.nkn.uidaho.edu/individual/n187093,"AgEd 251, CLDR 480, AgEd 450/550/CLDR 450",Agriculture,Agricultural and Life Sciences,125,,,Dr. Bush will create and adapt open materials to replace traditional texts in AgED251.,
