accession_number,title,extent
UA 2018-15,"""The History of the Northwest Wind Quintet"" Master's Paper",0.25 Cubic Feet
UA 2016-01,2015 Commencement speech by John Weincek,0.25 Cubic_feet
MA 2017-12,4-H Club Records,3.00 Cubic_feet
MA 2013-07,A Great Day In Harlem Collection,1.00 Cubic_feet
MA 2018-40,A Real Man Among Men How Republicans Helped Democrat Mike O'Callaghan win the 1970 Nevada Governor's Race by William Clayson,0.50 Linear_feet
MA 2011-02,A. Fred Watts Photographs,1.00 Cubic_feet
MA 2000-34,Aaron Harp Papers,1.00 Cubic_feet
MA 2003-03,AARP Latah County Chapter Records,1.00 Cubic_feet
UA 1989-24,Academic Affairs Records,0.50 Cubic_feet
UA 1980-024,Academic Council Minutes,8.00 Volumes
UA 1999-20,Academic Council Minutes,3.50 Linear feet
MA 2010-25,Adam Aulbach Photographs,1.00 Cubic_feet
UA 2009-11,Administrative Affairs Records,11.00 Cubic_feet
UA 1999-22,Administrative Council Minutes,2.00 Linear feet
MA 2019-53,Aerial Photo Quadrangle Map collection,1.00 folder
UA 1990-30,Affirmative Action Records,0.50 Cubic_feet
MA 2019-40,Agnes Crawford Schuldt papers,1.00 Folder
MA 2001-02,Agricultural Communications Collections,6.00 Cubic_feet
UA 1980-054,Agricultural Consulting Council Records,10.00 Volumes
UA 1989-33,Agricultural Cooperative Extension Records,1.00 Cubic_feet
UA 1997-06,Agricultural Economics/Rural Sociology Records,1.00 Cubic_feet
UA 2000-16,Agricultural Ethics Collection,1.00 Cubic_feet
UA 1991-019,Agricultural Experiment Station Records,1.00 Cubic_feet
UA 1987-26,Agricultural Extension Records,1.00 Cubic_feet
UA 1988-09,Agricultural Extension Records,1.00 Cubic_feet
UA 1995-02,Agricultural Extension Records,2.00 Cubic_feet
UA 2002-10,Agricultural Extension Service Records,0.50 Cubic_feet
UA 1992-24,Agriculture Communications Center Video 1% initiative,0.50 Cubic_feet
MA 1995-09,Al Day Papers,2.00 Cubic_feet
MA 1994-21,Albert R. Menard Papers,17.00 Cubic_feet
UA 2017-36,Aldrich Entomology Club Newsletters,74.10 Megabytes
UA 2010-11,Aldrich Entomology Club Records,1.00 Cubic_feet
MA 2018-60,Alpha Chapter of Phi Beta Kappa Records,1.00 Cubic_feet
MA 2012-25,ALSC Architects Records of University of Idaho Sandpoint Campus,0.25 Cubic_feet
UA 2016-30,Alumni Association Association Collection,1.50 Cubic_feet
UA 2007-05,Alumni Association Office Records,3.00 Cubic_feet
UA 2016-14,Alumni Association Records,15.00 Cubic_feet
UA 1989-47,Alumni Office Records,0.50 Cubic_feet
UA 2018-08,Alumni Office Records,2.00 Cubic_feet
UA 2017-32,Alumni Relations Campus Photographs,1.00 Cubic_feet
UA 2011-01,Alumni Relations Retirees Association Records,1.00 Cubic_feet
MA 2018-31,American Society of Agricultural and Biological Engineers Pacific Northwest Chapter Papers,0.50 Cubic_feet
MA 1993-25,American Society of Agricultural Engineers Pacific Northwest Section Records,0.50 Cubic_feet
MA 2008-29,"American Society of Agricultural Engineers, PNW Section Records",0.25 Linear feet
