id,finding_aid_link,title,type,number,group,digital_collection,category,subject,description
spec00001,https://archiveswest.orbiscascade.org/ark:/80444/xv68062,"Office of Price Administration, Latah County. Records, 1942-1945",MG,1,MG 1,,,government;latah county;world wars;,
spec00002,https://archiveswest.orbiscascade.org/ark:/80444/xv00689/,"Francis Laney. Papers, 1867-1938",MG,2,MG 2,,university;mining,idaho,
spec00003,https://archiveswest.orbiscascade.org/ark:/80444/xv33522/,"Nell K. Irion. Papers, 1916-1944",MG,3,MG 3,,,women;idaho,
spec00004,https://search.lib.uidaho.edu/UID:CP71179075410001451,"Republican Party (Idaho).  State Assembly. Transcripts, 1970-1980. ",MG,4,MG 4,,,idaho;government;politics,
spec00005,https://archiveswest.orbiscascade.org/ark:/80444/xv66353,"Stanly Easton. Papers, 1900-1916",MG,5,MG 5,https://www.lib.uidaho.edu/digital/bunkerhill,mining,,
spec00006,https://archiveswest.orbiscascade.org/ark:/80444/xv99186,"Weldon Brinton Heyburn. Papers, 1889-1911",MG,6,MG 6,,,politics;idaho,
spec00007,https://archiveswest.orbiscascade.org/ark:/80444/xv31811/,"Phi Kappa Phi. Records, 1952-1986",MG,7,MG 7,,university,,
spec00008,https://archiveswest.orbiscascade.org/ark:/80444/xv64985/,"George L. Shoup. Papers, 1861-1958",MG,8,MG 8,,,business;idaho,
spec00009,https://archiveswest.orbiscascade.org/ark:/80444/xv97816,"James Franklin Ailshie. Papers, 1902-1931",MG,9,MG 9,,,government;politics,
spec00010,https://archiveswest.orbiscascade.org/ark:/80444/xv30443,"William Edgar Borah. Scrapbooks, 1903-1947",MG,10,MG 10,,,government;politics,
spec00011,https://archiveswest.orbiscascade.org/ark:/80444/xv63274,"Clarence A. Bottolfsen. Papers, 1926-1964",MG,11,MG 11,,,government;politics;idaho,
spec00012,https://archiveswest.orbiscascade.org/ark:/80444/xv96107,"Craig Mountain Lumber Company. Records, 1909-1956",MG,12,MG 12,,,lumber,
spec00013,https://archiveswest.orbiscascade.org/ark:/80444/xv19424,"John E. Hayes. Papers, 1902-1937",MG,13,MG 13,,,water,
spec00014,https://archiveswest.orbiscascade.org/ark:/80444/xv61565,"Star Hardware Company. Records, 1914-1931",MG,14,MG 14,,,business,
spec00015,https://archiveswest.orbiscascade.org/ark:/80444/xv94398,"First National Bank of Wallace. Records, 1892-1949",MG,15,MG 15,,,business,
spec00016,https://archiveswest.orbiscascade.org/ark:/80444/xv27023/,"Kootenai County, Idaho. Attorney. CAB Hearing Records, 1965-1966",MG,16,MG 16,,,legal documents,
spec00017,https://search.lib.uidaho.edu/UID:CP71138704790001451,"Soda Springs Land and Cattle Company. Papers, 1889-1891. ",MG,17,MG 17,,,agriculture;business,
spec00018,https://archiveswest.orbiscascade.org/ark:/80444/xv59856,"Cornelius James Brosnan. Papers, 1917-1950",MG,18,MG 18,,university,idaho;,
spec00019,https://search.lib.uidaho.edu/UID:CP71111604070001451,"George R. Trask. Papers, 1889-1916",MG,19,MG 19,,,environmental,
spec00020,https://search.lib.uidaho.edu/UID:CP71111610180001451,"Idaho Memorial Building Association. Records, 1929",MG,20,MG 20,,,military,
spec00021,https://archiveswest.orbiscascade.org/ark:/80444/xv93028,"American Society for Range Management. Idaho Section. Records, 1951-1969",MG,21,MG 21,,,environmental,
spec00022,https://archiveswest.orbiscascade.org/ark:/80444/xv25655,"Barzilla W. Clark. Papers, 1937-1938",MG,22,MG 22,,,government,
spec00023,https://archiveswest.orbiscascade.org/ark:/80444/xv58486,"Harry W. Marsh. Papers, 1918-1966",MG,23,MG 23,,mining,,
spec00024,https://archiveswest.orbiscascade.org/ark:/80444/xv91319,"James M. Lyle. Papers, 1883-1949",MG,24,MG 24,,,business,
spec00025,https://archiveswest.orbiscascade.org/ark:/80444/xv23945,"The Pleiades Club. Records, 1892-1985",MG,25,MG 25,,,clubs;women,
spec00026,https://archiveswest.orbiscascade.org/ark:/80444/xv56777,"J. Neilson Barry. Papers, 1932-1958",MG,26,MG 26,,forestry,,
spec00027,https://archiveswest.orbiscascade.org/ark:/80444/xv89609/,"A.W. Post Family. Papers, 1862-1966",MG,27,MG 27,,,business,
spec00028,https://search.lib.uidaho.edu/UID:CP71115615290001451,"Clara Ransom Davis. Papers, 1883-1957",MG,28,MG 28,,,,
spec00029,https://archiveswest.orbiscascade.org/ark:/80444/xv22235,"Idaho Library Association. Records, 1915-1988",MG,29,MG 29,,,business,
spec00030,https://search.lib.uidaho.edu/UID:CP71138712740001451,"Mackay (Idaho).  Justice Court. Dockets, 1914-1932",MG,30,MG 30,,,legal documents,
spec00031,https://archiveswest.orbiscascade.org/ark:/80444/xv55068,"Musselshell Mining Company. Records, 1901-1908",MG,31,MG 31,,mining,,
spec00032,https://search.lib.uidaho.edu/UID:CP71138713430001451,"Charles Hoffman Farm. Records, 1885-1912. ",MG,32,MG 32,,,business,
spec00033,https://search.lib.uidaho.edu/UID:CP71147029510001451,"John H. Botten Hardware and Furniture. Records, 1901-1935. ",MG,33,MG 33,,,business,
spec00034,https://search.lib.uidaho.edu/UID:CP71147028790001451,"Moscow Commercial Bank (Idaho). Records, 1889-1895",MG,34,MG 34,,,business,
spec00035,https://search.lib.uidaho.edu/UID:CP71147027980001451,"Fred H. Saylor. Scrapbooks, 1888-1926",MG,35,MG 35,,,pacific northwest;scrapbooks,
spec00036,https://archiveswest.orbiscascade.org/ark:/80444/xv88241,"Charles W. Clarke. Papers, 1889-1894",MG,36,MG 36,,,business,
spec00037,https://search.lib.uidaho.edu/UID:CP71147028940001451,"Spurs.  University of Idaho Chapter. Notebooks, 1963-1978",MG,37,MG 37,,university,,
spec00038,https://archiveswest.orbiscascade.org/ark:/80444/xv20866,"Herman Welker. Papers, 1950-1956",MG,38,MG 38,,,government;scrapbooks,
spec00039,https://archiveswest.orbiscascade.org/ark:/80444/xv53698,"Anton Hanson Family. Papers, 1909-1939",MG,39,MG 39,,,,
spec00040,https://search.lib.uidaho.edu/UID:CP71115656850001451,"Latah County Protective Association. Records, 1917-1918",MG,40,MG 40,,,business;agriculture,
spec00041,https://archiveswest.orbiscascade.org/ark:/80444/xv86531,"Charles Hayward. Papers, 1830-1885",MG,41,MG 41,,,legal documents;letters,
spec00042,https://archiveswest.orbiscascade.org/ark:/80444/xv19157,"Edward Maslin Hulme. Scrapbooks, 1900-1917",MG,42,MG 42,,university,scrapbooks,
spec00043,https://archiveswest.orbiscascade.org/ark:/80444/xv51990/,"George Frederick Jewett, Sr. Papers, 1901-1950",MG,43,MG 43,,forestry,,
spec00044,https://archiveswest.orbiscascade.org/ark:/80444/xv84821,"Gracie Pfost. Papers, 1950-1962",MG,44,MG 44,,forestry,,
spec00045,https://search.lib.uidaho.edu/UID:CP71102896930001451,"T. B. Keith (Thomas Byron).  Papers, 1960-1968",MG,45,MG 45,,,agriculture,
spec00046,https://archiveswest.orbiscascade.org/ark:/80444/xv17447,"Harold Lough. Papers, 1957-1968",MG,46,MG 46,,,government,
spec00047,https://search.lib.uidaho.edu/UID:CP71162295810001451,"William Erwin Lee, 1882-1955. Papers, 1932-1956",MG,47,MG 47,,,government;speeches,
spec00048,https://search.lib.uidaho.edu/UID:CP71162296420001451,"Pontiac Mining Company. Records, 1919-1935",MG,48,MG 48,,mining,,
spec00049,https://archiveswest.orbiscascade.org/ark:/80444/xv50279,"Beacon for Mountain and Plain (Rafe Gibbs). Papers, 1919-1962",MG,49,MG 49,,university,,
spec00050,https://archiveswest.orbiscascade.org/ark:/80444/xv83453,"State Bank of Commerce, Wallace. Records, 1901-1911",MG,50,MG 50,,,business;politics,
spec00051,https://archiveswest.orbiscascade.org/ark:/80444/xv16078/,"Kendrick Gazette. Records, 1930-1965",MG,51,MG 51,,,business,
spec00052,https://archiveswest.orbiscascade.org/ark:/80444/xv48910,"Potlatch Forests, Inc., Camp 6. Records, 1927-1930",MG,52,MG 52,,forestry,,
spec00053,http://archiveswest.orbiscascade.org/ark:/80444/xv632659,"Earl David. Papers, 1909-1968",MG,53,MG 53,,,alumni;letters,
spec00054,https://archiveswest.orbiscascade.org/ark:/80444/xv81742,"James H. and Mary E. Forney. Papers, 1878-1889",MG,54,MG 54,,,,
spec00055,https://archiveswest.orbiscascade.org/ark:/80444/xv14369,"Burton Lee French. Papers, 1890-1954",MG,55,MG 55,,,legislators;correspondence;genealogy;alumni,
