category,question,answer
General Information,What is Special Collections and Archives?,"Special Collections and Archives is a department within the University of Idaho Library that specializes in the acquisition, preservation, and availability of archival research materials that document the history and culture of Idaho and the University of Idaho. We have over 25,000 linear feet of rare, unique, and valuable materials. Learn more on our [About](/special-collections/about.html) page!"
General Information,What types of materials do you have?,"For more detailed information about the different types of collections we hold, please see our [Descriptions of Collections](/special-collections/description.html) page.

Topics include, but are not limited to:
- personal papers of individuals and families
- business records (lumber, railroad, mining, etc.)
- Idaho state publications
- papers of government officials, educators, authors, artists, etc.
- organizational and association records (religious, fraternal, civic, environmental, etc.)
- book collections on local, historical, and literary topics

Formats include, but are not limited to:
- documents
- photographs
- audio/visual media
- bound books
- some artifacts"
General Information,How do I search for materials?,"There are several ways to search our collections, depending on if you are looking for an entire collection, an individual photograph, or a book. To use our research tools, check out our [Research Tools](/special-collections/searchtools.html)."
General Information,"Can I ""check-out"" archival materials like I do with library books?","Archival materials are non-circulating, meaning you cannot check them out. You are welcome to come and view our archival materials in the Special Collections [Reading Room](/special-collections/plan.html) during our [open hours](/special-collections/plan.html#hours). You may also [contact us](/special-collections/about.html#contact) - in some cases, we can fulfill your request remotely via digitization!"
General Information,How do I access/view your materials?,"You are welcome to come and view our archival materials in the Special Collections [Reading Room](/special-collections/plan.html) during our [open hours](/special-collections/plan.html#hours). You may also [contact us](/special-collections/about.html#contact) - in some cases, we can fulfill your request remotely via digitization!"
General Information,I am not a member of the University of Idaho campus community. Can I access your materials?,Everyone is welcome to view our materials! You do not need to be affiliated with the University of Idaho to use Special Collections and Archives.
General Information,Do I need to make an appointment?,"Although an appointment is not required, we greatly appreciate it if you let us know in advance when you plan to come into the [Reading Room](/special-collections/plan.html) and what you would like to view, so we can have the materials ready for you when you arrive. Additionally, some requests can be fulfilled digitally. Please [contact](/special-collections/about.html#contact) anyone in Special Collections to discuss your research needs and plans to visit."
General Information,"Do I need a library card, library account, or any other form of ID to use the Reading Room?","No - you do not need a library card, account, or any other form of ID. Everyone is welcome to walk in or make an appointment to view our materials. For more information, see our [Reading Room](/special-collections/plan.html) page."
General Information,Is everything digitized?,"While it is not possible to digitize everything due to the vast amount of materials (over 25,000 linear feet!), we are constantly working to digitize select collections and make them available online. To browse our digitized materials, check out our [digital collections](https://www.lib.uidaho.edu/digital/) and [Idaho Harvester blog](https://harvester.lib.uidaho.edu/)."
General Information,Where are you located?,"We are located on the [first floor](https://www.lib.uidaho.edu/about/maps.html) of the University of Idaho Library. For directions to the library, see our [directions page](https://www.lib.uidaho.edu/about/directions.html). For a wider campus map, see [campus maps](https://www.uidaho.edu/infrastructure/facilities/aes/campus-maps).

Our [Reading Room](/special-collections/plan.html) is located on the [first floor of the Library](https://www.lib.uidaho.edu/about/maps.html)."
General Information,Are your hours the same as the library's hours?,Please see our [Plan Your Visit](/special-collections/plan#hours.html) page for the most up-to-date information.
General Information,Where should I park?,You can find information about parking on the [Visitors Page](https://www.uidaho.edu/infrastructure/parking/visitors-community/visitors) of [University of Idaho Parking and Transportation Services](https://www.uidaho.edu/infrastructure/parking).
General Information,Does Special Collections & Archives appraise materials for monetary value?,We do not offer appraisal services.
General Information,Do you accept volunteers or interns?,We sometimes accept volunteers or interns on a case-by-case basis depending on current needs of the department.
General Information,Where can I find your current exhibits?,The library has two designated exhibit spaces on the 2nd floor of the library. They feature exhibits created from materials found in Special Collections and traveling exhibits. Other areas of the library will also periodically house exhibits. Exhibits rotate on a regular basis.
Research,"What is a ""finding aid?""","A finding aid is a detailed description and inventory of an archival collection. Similar to a Table of Contents or Index in a book, an archival finding aid is meant to tell you what is inside a given box or folder of an archival collection, so you can find what you're looking for more quickly.

A finding aid also provides information about the types of materials in a collection (for example, photographs or written correspondence, etc.), the subjects it covers (for example, mining or women's history, etc.), who created the materials within the collection, how it came to Special Collections and Archives, and more information. 

To learn more about finding aids and how to read them, check out our [video tutorial](/special-collections/searchtools.html)."
Research,"What is a ""Reading Room?""","The Reading Room is a designated space on the [first floor of the library](https://www.lib.uidaho.edu/about/maps.html) where you may view archival materials. For more information, please see our [Reading Room](/special-collections/plan.html) page."
Research,"What are ""primary sources?"" How are they different from ""secondary sources?""","Primary sources are documents, audio/visual materials, or artifacts that provide first-hand accounts of evidence about a historical topic or event. These materials were created or experienced by the person who created them at the same time that the topic or event in question occurred. This allows current researchers to get as close as possible to what actually happened in the past. Primary sources may include:
- diaries
- letters
- financial records
- audio/video or transcripts of interviews
- photos or videos that capture an event
- newspaper clippings

Secondary sources are documents or audio/visual materials that interpret or analyze a historical event or time period after-the-fact, by people who were not present during the time period or event in question. Typically, secondary sources rely on primary sources to analyze or interpret the past. Secondary sources may include:
- most books or scholarly publications about a topic
- documentaries

Special Collections and Archives houses mostly primary sources with some secondary sources. "
Research,Do I need to cite primary sources I found in the archive?,"Yes. Primary sources and other archival materials are still subject to intellectual property rights, copyright, and trademark laws in the United States. The best way to avoid plagiarism is to use your own words (do not copy text verbatim) and cite all of your sources!"
Research,How do I cite primary sources?,"If your professor or publisher does not require a specific citation style, here is a [general guide](https://libguides.uidaho.edu/citing).

Citations should lead your readers directly to the original sources you have consulted and should include as much identifying information as possible. Citations should include:
- author or creator's name
- title of the work or specific item
- date
- publication information
- collection title
- box and folder number, or photograph number
- repository (name of the archive that houses the materials)

Here's an example from one of our [collections](https://archiveswest.orbiscascade.org/ark:/80444/xv119445/op=fstyle.aspx?t=k&q=): 

""Three men and loaded gun rack inside tent,"" undated. Priest Lake Museum Association Photographs, photo #17-01-26. University of Idaho Library, Special Collections and Archives, Moscow, Idaho. 

Also see, ""Do I need to obtain permission to publish materials from your collections"" question in the FAQ or our full [Citation Policy](link to Citation Policy)."
Research,"I'm new to archival research, can you help me get started?","Yes! We realize archival research can be confusing and intimidating, even for veteran researchers. Please [contact](/special-collections/about.html) Special Collections staff and we'll be happy to help!"
Research,There used to be a page on your website that I can't find anymore. What do I do?,Please [contact us](/special-collections/about.html) and we'll try our best to get you the information you need.
Reproductions & Permissions,Can I scan or take photos of materials?,"You are welcome to scan or take photos of materials, but please beware of some important information before doing so:
- We have two flatbed scanners and computers available for patron use in our [Reading Room](link to Plan Your Visit page), but the materials must be in good enough condition to withstand flatbed scanning. Personal portable scanners and other digital imaging equipment must be approved by our staff prior to use. Feed scanners are strictly prohibited. **Please ask Special Collections staff before scanning materials.**
- If you are scanning or taking photos of materials for *commercial purposes* (as opposed to research purposes), you must obtain permission from whoever holds copyright to those materials, and you must properly cite us. 
- **To avoid potential copyright or plagiarism violations**, please view our [Reproduction and Use Policy](link to Reproduction and use page) and [Citation Policy](/special-collections/citation.html) for more information and [contact us](/special-collections/about.html) with any questions or concerns.
- We have many materials available online through our [digital collections]( https://www.lib.uidaho.edu/digital/). **These are free to download and the vast majority are available for educational and research purposes**. If using these images commercially, you must still ensure copyright and use proper citations. "
Reproductions & Permissions,Can you provide photocopies of items? What do photocopies cost? How long do I have to wait for them?,"Unfortunately, we do not provide photocopies. There are three options for obtaining digital scans of materials:
- If you are able to visit our [Reading Room](/special-collections/plan.html), we have two flatbed scanners and computers available for patron use, but the materials must be in good enough condition to withstand flatbed scanning.
- If you are unable to visit our Reading Room, we can sometimes provide digital scans of our materials and send them to you electronically. Our [Reproductions and Use Policy](/special-collections/policies.html#reproduction-requests) has more information about the cost and restrictions on this service.
- We have many materials available online through our [digital collections](https://www.lib.uidaho.edu/digital/). These are free to download and all digitized material are under public domain. If using these images commercially, you must still use proper citations. "
